06088AP13976B;POINT ECOUTE JEUNE : L'ESCALE;ETABLISSEMENT;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.27155288, 43.70259822]}"
06088AT02426C;DIRECTION DES AFFAIRES SOCIALES;ETABLISSEMENT;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.27637166, 43.70090654]}"
06088AA03521A;CRECHE LES KARR' HIBOUX;ETABLISSEMENT NON MUNICIPAL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.26653128, 43.69814518]}"
06088AM018732E;RELAIS MALAUSSENA;RELAIS PETITE ENFANCE;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.26270383, 43.70936392]}"
06088AV047327A;ELIOT SUR LA COLLINE;"ETABLISSEMENT MIXTE ""VILLE-ENTREPRISES""";6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.30203842, 43.70792229]}"
06075AA00192A;CRECHE INTERCOMMUNALE DE LEVENS;CRECHE FAMILIALE;6075;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.22868085, 43.85945988]}"
06027AA015899B;CRECHE LOU NISTOUN;CRECHE FAMILIALE;6027;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.16524624, 43.66929758]}"
06123AA012390A;CRECHE LES LUTINS;CRECHE FAMILIALE;6123;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.18400362, 43.66556044]}"
06126AA00023A;CRECHE INTERCOMMUNALE;CRECHE FAMILIALE;6126;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.19085535, 43.82192933]}"
06088AT0451223A;LES LIBELLULES;CENTRE MULTI ACCUEIL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.28894354, 43.72436803]}"
06088AB04511A;LA ROSERAIE;CENTRE MULTI ACCUEIL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.2789972, 43.71857054]}"
06088SC01068A;MIRABELLE;ETABLISSEMENT;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.28615682, 43.70146059]}"
06088AM13704A;CRECHE BB SOLEIL;ETABLISSEMENT NON MUNICIPAL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.28104884, 43.7132278]}"
06088AP126513C;CRECHE SAINT-PIERRE;ETABLISSEMENT NON MUNICIPAL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.25284213, 43.69502074]}"
06088AT012139A;MENTHE A L'EAU;"ETABLISSEMENT MIXTE ""VILLE-ENTREPRISES""";6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.2230474, 43.69055049]}"
06088AD01152F;L'ARBRE BLEU;CENTRE MULTI ACCUEIL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.20060534, 43.68456221]}"
06088AV056149A;CRECHE LES PITCHOUNS DE VITTONE;ETABLISSEMENT NON MUNICIPAL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.2119499, 43.67247132]}"
06088SP00881A;HALTE GARDERIE SOL EN SI;CRECHE FAMILIALE;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.27358928, 43.69644931]}"
06088AA114447B;ANTENNE LA MAIOUN DEI PICHOUI;SERVICE D'ACCUEIL FAMILIAL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.28593356, 43.70628551]}"
06027AA03180A;CRECHE ESTERELLA;CRECHE FAMILIALE;6027;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.15130809, 43.66713093]}"
06011AA00105A;CRECHE MULTI ACCUEIL LES PETITS MALINS;CRECHE FAMILIALE;6011;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.3333959, 43.70674394]}"
06088AG046289A;VILLA LA LEZARDIERE;CENTRE MULTI ACCUEIL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.26976425, 43.71381312]}"
06088AC020949B;L'OISEAU BLEU;CENTRE MULTI ACCUEIL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.27584143, 43.72973981]}"
06088AA063816A;L'ILE DES ENFANTS;CENTRE MULTI ACCUEIL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.26468779, 43.70333782]}"
06088AB006610A;BARON DE BELLET;CENTRE MULTI ACCUEIL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.29264534, 43.69911629]}"
06073AA00050D;JARDIN D'ENFANTS;CRECHE FAMILIALE;6073;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.15741425, 44.18438888]}"
06088AG02864A;LA MAIOUNETA;"ETABLISSEMENT MIXTE ""VILLE-ENTREPRISES""";6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.25453587, 43.70469046]}"
06088AM0044151A;ANTENNE LES PETITES ETOILES;SERVICE D'ACCUEIL FAMILIAL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.23467835, 43.70337451]}"
06064AA0105244A;CRECHE CANAILLOUS;CRECHE FAMILIALE;6064;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.17681373, 43.75846726]}"
